participant,id,adjectivestring,filler_acceptability,item_type,scenario,adj_target,adj_secondary,adj_secondary_type,order,group,condition,response,time
1,tv_test_1,big expensive,,test,tv,big,expensive,scalar,first,2,unimodal,5,18.814
1,tv_test_2,expensive big,,test,tv,big,expensive,scalar,second,2,unimodal,3,6.329
1,tv_test_3,refurbished big,,test,tv,big,refurbished,absolute,second,2,unimodal,5,2.578
1,tv_test_4,big refurbished,,test,tv,big,refurbished,absolute,first,2,unimodal,5,6.122
1,tv_test_5,big cheap,,test,tv,big,cheap,scalar,first,2,unimodal,5,2.567
1,tv_test_6,cheap big,,test,tv,big,cheap,scalar,second,2,unimodal,5,3.349
1,tv_test_7,big discounted,,test,tv,big,discounted,absolute,first,2,unimodal,5,1.874
1,tv_test_8,discounted big,,test,tv,big,discounted,absolute,second,2,unimodal,5,3.003
1,ch_test_1,long expensive,,test,couch,long,expensive,scalar,first,2,bimodal,5,1.712
1,ch_test_2,expensive long,,test,couch,long,expensive,scalar,second,2,bimodal,5,1.78
1,ch_test_3,leather long,,test,couch,long,leather,absolute,second,2,bimodal,5,2.025
1,ch_test_4,long leather,,test,couch,long,leather,absolute,first,2,bimodal,5,1.452
1,ch_test_5,cheap long,,test,couch,long,cheap,scalar,second,2,bimodal,5,1.279
1,ch_test_6,long cheap,,test,couch,long,cheap,scalar,first,2,bimodal,4,4.341
1,ch_test_7,discounted long,,test,couch,long,discounted,absolute,second,2,bimodal,4,1.738
1,ch_test_8,long discounted,,test,couch,long,discounted,absolute,first,2,bimodal,5,6.559
1,tv_filler_1,,questionable,filler,tv,,,,,2,unimodal,3,7.841
1,tv_filler_2,,questionable,filler,tv,,,,,2,unimodal,1,3.044
1,tv_filler_3,,acceptable,filler,tv,,,,,2,unimodal,4,14.646
1,tv_filler_4,,acceptable,filler,tv,,,,,2,unimodal,5,9.351
1,tv_filler_5,,acceptable,filler,tv,,,,,2,unimodal,5,4.183
1,tv_filler_6,,unacceptable,filler,tv,,,,,2,unimodal,5,2.669
1,tv_filler_7,,unacceptable,filler,tv,,,,,2,unimodal,1,2.305
1,tv_filler_8,,unacceptable,filler,tv,,,,,2,unimodal,5,1.753
1,tv_filler_9,,unacceptable,filler,tv,,,,,2,unimodal,1,45.031
1,tv_filler_10,,acceptable,filler,tv,,,,,2,unimodal,5,3.313
1,ch_filler_1,,questionable,filler,couch,,,,,2,bimodal,5,1.445
1,ch_filler_2,,acceptable,filler,couch,,,,,2,bimodal,5,1.544
1,ch_filler_3,,acceptable,filler,couch,,,,,2,bimodal,5,2.19
1,ch_filler_4,,questionable,filler,couch,,,,,2,bimodal,5,2.663
1,ch_filler_5,,questionable,filler,couch,,,,,2,bimodal,3,2.964
1,ch_filler_6,,acceptable,filler,couch,,,,,2,bimodal,5,1.369
1,ch_filler_7,,unacceptable,filler,couch,,,,,2,bimodal,1,1.615
1,ch_filler_8,,unacceptable,filler,couch,,,,,2,bimodal,1,2.505
1,ch_filler_9,,acceptable,filler,couch,,,,,2,bimodal,4,6.651
1,ch_filler_10,,unacceptable,filler,couch,,,,,2,bimodal,5,3.847
2,tv_test_1,big expensive,,test,tv,big,expensive,scalar,first,2,unimodal,4,4.713
2,tv_test_2,expensive big,,test,tv,big,expensive,scalar,second,2,unimodal,4,4.098
2,tv_test_3,refurbished big,,test,tv,big,refurbished,absolute,second,2,unimodal,3,3.444
2,tv_test_4,big refurbished,,test,tv,big,refurbished,absolute,first,2,unimodal,4,5.917
2,tv_test_5,big cheap,,test,tv,big,cheap,scalar,first,2,unimodal,4,3.265
2,tv_test_6,cheap big,,test,tv,big,cheap,scalar,second,2,unimodal,5,6.147
2,tv_test_7,big discounted,,test,tv,big,discounted,absolute,first,2,unimodal,5,19.08
2,tv_test_8,discounted big,,test,tv,big,discounted,absolute,second,2,unimodal,5,3.356
2,ch_test_1,long expensive,,test,couch,long,expensive,scalar,first,2,bimodal,2,4.715
2,ch_test_2,expensive long,,test,couch,long,expensive,scalar,second,2,bimodal,2,3.91
2,ch_test_3,leather long,,test,couch,long,leather,absolute,second,2,bimodal,3,6.662
2,ch_test_4,long leather,,test,couch,long,leather,absolute,first,2,bimodal,3,3.236
2,ch_test_5,cheap long,,test,couch,long,cheap,scalar,second,2,bimodal,5,4.393
2,ch_test_6,long cheap,,test,couch,long,cheap,scalar,first,2,bimodal,3,3.81
2,ch_test_7,discounted long,,test,couch,long,discounted,absolute,second,2,bimodal,2,6.379
2,ch_test_8,long discounted,,test,couch,long,discounted,absolute,first,2,bimodal,5,7.499
2,tv_filler_1,,questionable,filler,tv,,,,,2,unimodal,3,6.013
2,tv_filler_2,,questionable,filler,tv,,,,,2,unimodal,3,3.112
2,tv_filler_3,,acceptable,filler,tv,,,,,2,unimodal,4,2.832
2,tv_filler_4,,acceptable,filler,tv,,,,,2,unimodal,5,2.197
2,tv_filler_5,,acceptable,filler,tv,,,,,2,unimodal,5,8.803
2,tv_filler_6,,unacceptable,filler,tv,,,,,2,unimodal,1,3.067
2,tv_filler_7,,unacceptable,filler,tv,,,,,2,unimodal,1,4.889
2,tv_filler_8,,unacceptable,filler,tv,,,,,2,unimodal,1,2.311
2,tv_filler_9,,unacceptable,filler,tv,,,,,2,unimodal,1,12.679
2,tv_filler_10,,acceptable,filler,tv,,,,,2,unimodal,5,2.821
2,ch_filler_1,,questionable,filler,couch,,,,,2,bimodal,4,12.847
2,ch_filler_2,,acceptable,filler,couch,,,,,2,bimodal,5,3.296
2,ch_filler_3,,acceptable,filler,couch,,,,,2,bimodal,4,5.853
2,ch_filler_4,,questionable,filler,couch,,,,,2,bimodal,4,4.847
2,ch_filler_5,,questionable,filler,couch,,,,,2,bimodal,3,6.672
2,ch_filler_6,,acceptable,filler,couch,,,,,2,bimodal,4,3.984
2,ch_filler_7,,unacceptable,filler,couch,,,,,2,bimodal,1,4.213
2,ch_filler_8,,unacceptable,filler,couch,,,,,2,bimodal,1,3.726
2,ch_filler_9,,acceptable,filler,couch,,,,,2,bimodal,4,4.898
2,ch_filler_10,,unacceptable,filler,couch,,,,,2,bimodal,5,2.861
3,tv_test_1,big expensive,,test,tv,big,expensive,scalar,first,2,unimodal,4,3.487
3,tv_test_2,expensive big,,test,tv,big,expensive,scalar,second,2,unimodal,5,2.278
3,tv_test_3,refurbished big,,test,tv,big,refurbished,absolute,second,2,unimodal,4,6.412
3,tv_test_4,big refurbished,,test,tv,big,refurbished,absolute,first,2,unimodal,5,2.392
3,tv_test_5,big cheap,,test,tv,big,cheap,scalar,first,2,unimodal,4,1.889
3,tv_test_6,cheap big,,test,tv,big,cheap,scalar,second,2,unimodal,4,1.91
3,tv_test_7,big discounted,,test,tv,big,discounted,absolute,first,2,unimodal,5,2.159
3,tv_test_8,discounted big,,test,tv,big,discounted,absolute,second,2,unimodal,4,2.039
3,ch_test_1,long expensive,,test,couch,long,expensive,scalar,first,2,bimodal,4,2.776
3,ch_test_2,expensive long,,test,couch,long,expensive,scalar,second,2,bimodal,4,1.816
3,ch_test_3,leather long,,test,couch,long,leather,absolute,second,2,bimodal,2,2.474
3,ch_test_4,long leather,,test,couch,long,leather,absolute,first,2,bimodal,4,1.794
3,ch_test_5,cheap long,,test,couch,long,cheap,scalar,second,2,bimodal,4,2.994
3,ch_test_6,long cheap,,test,couch,long,cheap,scalar,first,2,bimodal,4,20.642
3,ch_test_7,discounted long,,test,couch,long,discounted,absolute,second,2,bimodal,4,1.78
3,ch_test_8,long discounted,,test,couch,long,discounted,absolute,first,2,bimodal,4,5.043
3,tv_filler_1,,questionable,filler,tv,,,,,2,unimodal,3,2.175
3,tv_filler_2,,questionable,filler,tv,,,,,2,unimodal,2,6.973
3,tv_filler_3,,acceptable,filler,tv,,,,,2,unimodal,5,2.627
3,tv_filler_4,,acceptable,filler,tv,,,,,2,unimodal,5,4.651
3,tv_filler_5,,acceptable,filler,tv,,,,,2,unimodal,5,1.683
3,tv_filler_6,,unacceptable,filler,tv,,,,,2,unimodal,1,1.501
3,tv_filler_7,,unacceptable,filler,tv,,,,,2,unimodal,1,2.114
3,tv_filler_8,,unacceptable,filler,tv,,,,,2,unimodal,1,1.823
3,tv_filler_9,,unacceptable,filler,tv,,,,,2,unimodal,1,1.859
3,tv_filler_10,,acceptable,filler,tv,,,,,2,unimodal,4,1.602
3,ch_filler_1,,questionable,filler,couch,,,,,2,bimodal,3,3.945
3,ch_filler_2,,acceptable,filler,couch,,,,,2,bimodal,4,1.722
3,ch_filler_3,,acceptable,filler,couch,,,,,2,bimodal,4,6.301
3,ch_filler_4,,questionable,filler,couch,,,,,2,bimodal,3,2.182
3,ch_filler_5,,questionable,filler,couch,,,,,2,bimodal,2,2.776
3,ch_filler_6,,acceptable,filler,couch,,,,,2,bimodal,4,1.889
3,ch_filler_7,,unacceptable,filler,couch,,,,,2,bimodal,1,1.753
3,ch_filler_8,,unacceptable,filler,couch,,,,,2,bimodal,1,2.826
3,ch_filler_9,,acceptable,filler,couch,,,,,2,bimodal,4,3.287
3,ch_filler_10,,unacceptable,filler,couch,,,,,2,bimodal,1,2.999
4,tv_test_1,big expensive,,test,tv,big,expensive,scalar,first,2,unimodal,5,3.348
4,tv_test_2,expensive big,,test,tv,big,expensive,scalar,second,2,unimodal,5,4.769
4,tv_test_3,refurbished big,,test,tv,big,refurbished,absolute,second,2,unimodal,5,7.504
4,tv_test_4,big refurbished,,test,tv,big,refurbished,absolute,first,2,unimodal,5,7.652
4,tv_test_5,big cheap,,test,tv,big,cheap,scalar,first,2,unimodal,5,3.606
4,tv_test_6,cheap big,,test,tv,big,cheap,scalar,second,2,unimodal,5,4.537
4,tv_test_7,big discounted,,test,tv,big,discounted,absolute,first,2,unimodal,5,3.177
4,tv_test_8,discounted big,,test,tv,big,discounted,absolute,second,2,unimodal,5,5.622
4,ch_test_1,long expensive,,test,couch,long,expensive,scalar,first,2,bimodal,5,6.204
4,ch_test_2,expensive long,,test,couch,long,expensive,scalar,second,2,bimodal,5,4.874
4,ch_test_3,leather long,,test,couch,long,leather,absolute,second,2,bimodal,5,2.608
4,ch_test_4,long leather,,test,couch,long,leather,absolute,first,2,bimodal,5,3.892
4,ch_test_5,cheap long,,test,couch,long,cheap,scalar,second,2,bimodal,5,3.763
4,ch_test_6,long cheap,,test,couch,long,cheap,scalar,first,2,bimodal,5,2.907
4,ch_test_7,discounted long,,test,couch,long,discounted,absolute,second,2,bimodal,5,8.182
4,ch_test_8,long discounted,,test,couch,long,discounted,absolute,first,2,bimodal,5,3.225
4,tv_filler_1,,questionable,filler,tv,,,,,2,unimodal,4,5.805
4,tv_filler_2,,questionable,filler,tv,,,,,2,unimodal,1,3.434
4,tv_filler_3,,acceptable,filler,tv,,,,,2,unimodal,5,3.718
4,tv_filler_4,,acceptable,filler,tv,,,,,2,unimodal,5,2.449
4,tv_filler_5,,acceptable,filler,tv,,,,,2,unimodal,5,3.507
4,tv_filler_6,,unacceptable,filler,tv,,,,,2,unimodal,1,2.636
4,tv_filler_7,,unacceptable,filler,tv,,,,,2,unimodal,1,2.098
4,tv_filler_8,,unacceptable,filler,tv,,,,,2,unimodal,1,2.209
4,tv_filler_9,,unacceptable,filler,tv,,,,,2,unimodal,1,5.222
4,tv_filler_10,,acceptable,filler,tv,,,,,2,unimodal,5,4.065
4,ch_filler_1,,questionable,filler,couch,,,,,2,bimodal,4,5.576
4,ch_filler_2,,acceptable,filler,couch,,,,,2,bimodal,5,2.957
4,ch_filler_3,,acceptable,filler,couch,,,,,2,bimodal,5,2.677
4,ch_filler_4,,questionable,filler,couch,,,,,2,bimodal,1,7.397
4,ch_filler_5,,questionable,filler,couch,,,,,2,bimodal,1,4.208
4,ch_filler_6,,acceptable,filler,couch,,,,,2,bimodal,5,3.438
4,ch_filler_7,,unacceptable,filler,couch,,,,,2,bimodal,1,2.419
4,ch_filler_8,,unacceptable,filler,couch,,,,,2,bimodal,1,3.021
4,ch_filler_9,,acceptable,filler,couch,,,,,2,bimodal,5,3.242
4,ch_filler_10,,unacceptable,filler,couch,,,,,2,bimodal,1,2.394
5,tv_test_1,big expensive,,test,tv,big,expensive,scalar,first,1,bimodal,5,4.008
5,tv_test_2,expensive big,,test,tv,big,expensive,scalar,second,1,bimodal,4,12.884
5,tv_test_3,refurbished big,,test,tv,big,refurbished,absolute,second,1,bimodal,4,11.058
5,tv_test_4,big refurbished,,test,tv,big,refurbished,absolute,first,1,bimodal,5,3.942
5,tv_test_5,big cheap,,test,tv,big,cheap,scalar,first,1,bimodal,5,2.756
5,tv_test_6,cheap big,,test,tv,big,cheap,scalar,second,1,bimodal,3,10.41
5,tv_test_7,big discounted,,test,tv,big,discounted,absolute,first,1,bimodal,5,2.657
5,tv_test_8,discounted big,,test,tv,big,discounted,absolute,second,1,bimodal,5,7.338
5,ch_test_1,long expensive,,test,couch,long,expensive,scalar,first,1,unimodal,5,3.822
5,ch_test_2,expensive long,,test,couch,long,expensive,scalar,second,1,unimodal,5,4.509
5,ch_test_3,leather long,,test,couch,long,leather,absolute,second,1,unimodal,2,7.586
5,ch_test_4,long leather,,test,couch,long,leather,absolute,first,1,unimodal,5,3.301
5,ch_test_5,cheap long,,test,couch,long,cheap,scalar,second,1,unimodal,5,3.401
5,ch_test_6,long cheap,,test,couch,long,cheap,scalar,first,1,unimodal,5,5.311
5,ch_test_7,discounted long,,test,couch,long,discounted,absolute,second,1,unimodal,5,3.475
5,ch_test_8,long discounted,,test,couch,long,discounted,absolute,first,1,unimodal,5,2.843
5,tv_filler_1,,questionable,filler,tv,,,,,1,bimodal,5,3.142
5,tv_filler_2,,questionable,filler,tv,,,,,1,bimodal,1,6.871
5,tv_filler_3,,acceptable,filler,tv,,,,,1,bimodal,5,4.025
5,tv_filler_4,,acceptable,filler,tv,,,,,1,bimodal,5,4.039
5,tv_filler_5,,acceptable,filler,tv,,,,,1,bimodal,5,3.017
5,tv_filler_6,,unacceptable,filler,tv,,,,,1,bimodal,1,2.762
5,tv_filler_7,,unacceptable,filler,tv,,,,,1,bimodal,1,2.465
5,tv_filler_8,,unacceptable,filler,tv,,,,,1,bimodal,1,2.15
5,tv_filler_9,,unacceptable,filler,tv,,,,,1,bimodal,1,3.983
5,tv_filler_10,,acceptable,filler,tv,,,,,1,bimodal,5,2.791
5,ch_filler_1,,questionable,filler,couch,,,,,1,unimodal,5,3.589
5,ch_filler_2,,acceptable,filler,couch,,,,,1,unimodal,5,2.089
5,ch_filler_3,,acceptable,filler,couch,,,,,1,unimodal,5,4.645
5,ch_filler_4,,questionable,filler,couch,,,,,1,unimodal,5,4.956
5,ch_filler_5,,questionable,filler,couch,,,,,1,unimodal,2,9.858
5,ch_filler_6,,acceptable,filler,couch,,,,,1,unimodal,5,2.742
5,ch_filler_7,,unacceptable,filler,couch,,,,,1,unimodal,1,3.501
5,ch_filler_8,,unacceptable,filler,couch,,,,,1,unimodal,1,2.423
5,ch_filler_9,,acceptable,filler,couch,,,,,1,unimodal,5,8.278
5,ch_filler_10,,unacceptable,filler,couch,,,,,1,unimodal,1,4.038
6,tv_test_1,big expensive,,test,tv,big,expensive,scalar,first,2,unimodal,3,6.365
6,tv_test_2,expensive big,,test,tv,big,expensive,scalar,second,2,unimodal,4,4.63
6,tv_test_3,refurbished big,,test,tv,big,refurbished,absolute,second,2,unimodal,3,4.126
6,tv_test_4,big refurbished,,test,tv,big,refurbished,absolute,first,2,unimodal,4,6.492
6,tv_test_5,big cheap,,test,tv,big,cheap,scalar,first,2,unimodal,3,5.426
6,tv_test_6,cheap big,,test,tv,big,cheap,scalar,second,2,unimodal,4,4.129
6,tv_test_7,big discounted,,test,tv,big,discounted,absolute,first,2,unimodal,2,4.616
6,tv_test_8,discounted big,,test,tv,big,discounted,absolute,second,2,unimodal,5,3.355
6,ch_test_1,long expensive,,test,couch,long,expensive,scalar,first,2,bimodal,2,3.579
6,ch_test_2,expensive long,,test,couch,long,expensive,scalar,second,2,bimodal,4,3.399
6,ch_test_3,leather long,,test,couch,long,leather,absolute,second,2,bimodal,1,2.243
6,ch_test_4,long leather,,test,couch,long,leather,absolute,first,2,bimodal,5,3.118
6,ch_test_5,cheap long,,test,couch,long,cheap,scalar,second,2,bimodal,4,7.046
6,ch_test_6,long cheap,,test,couch,long,cheap,scalar,first,2,bimodal,2,5.628
6,ch_test_7,discounted long,,test,couch,long,discounted,absolute,second,2,bimodal,4,6.964
6,ch_test_8,long discounted,,test,couch,long,discounted,absolute,first,2,bimodal,2,3.766
6,tv_filler_1,,questionable,filler,tv,,,,,2,unimodal,5,2.331
6,tv_filler_2,,questionable,filler,tv,,,,,2,unimodal,2,4.002
6,tv_filler_3,,acceptable,filler,tv,,,,,2,unimodal,5,6.476
6,tv_filler_4,,acceptable,filler,tv,,,,,2,unimodal,4,2.444
6,tv_filler_5,,acceptable,filler,tv,,,,,2,unimodal,5,2.814
6,tv_filler_6,,unacceptable,filler,tv,,,,,2,unimodal,1,1.958
6,tv_filler_7,,unacceptable,filler,tv,,,,,2,unimodal,1,2.248
6,tv_filler_8,,unacceptable,filler,tv,,,,,2,unimodal,1,1.767
6,tv_filler_9,,unacceptable,filler,tv,,,,,2,unimodal,1,2.462
6,tv_filler_10,,acceptable,filler,tv,,,,,2,unimodal,5,6.67
6,ch_filler_1,,questionable,filler,couch,,,,,2,bimodal,5,5.286
6,ch_filler_2,,acceptable,filler,couch,,,,,2,bimodal,5,2.57
6,ch_filler_3,,acceptable,filler,couch,,,,,2,bimodal,5,3.517
6,ch_filler_4,,questionable,filler,couch,,,,,2,bimodal,5,3.365
6,ch_filler_5,,questionable,filler,couch,,,,,2,bimodal,2,6.783
6,ch_filler_6,,acceptable,filler,couch,,,,,2,bimodal,5,2.863
6,ch_filler_7,,unacceptable,filler,couch,,,,,2,bimodal,1,2.007
6,ch_filler_8,,unacceptable,filler,couch,,,,,2,bimodal,1,2.558
6,ch_filler_9,,acceptable,filler,couch,,,,,2,bimodal,4,5.753
6,ch_filler_10,,unacceptable,filler,couch,,,,,2,bimodal,1,4.047
7,tv_test_1,big expensive,,test,tv,big,expensive,scalar,first,1,bimodal,4,2.854
7,tv_test_2,expensive big,,test,tv,big,expensive,scalar,second,1,bimodal,5,3.377
7,tv_test_3,refurbished big,,test,tv,big,refurbished,absolute,second,1,bimodal,4,3.01
7,tv_test_4,big refurbished,,test,tv,big,refurbished,absolute,first,1,bimodal,5,3.232
7,tv_test_5,big cheap,,test,tv,big,cheap,scalar,first,1,bimodal,4,4.657
7,tv_test_6,cheap big,,test,tv,big,cheap,scalar,second,1,bimodal,5,2.525
7,tv_test_7,big discounted,,test,tv,big,discounted,absolute,first,1,bimodal,5,2.729
7,tv_test_8,discounted big,,test,tv,big,discounted,absolute,second,1,bimodal,4,3.823
7,ch_test_1,long expensive,,test,couch,long,expensive,scalar,first,1,unimodal,5,1.75
7,ch_test_2,expensive long,,test,couch,long,expensive,scalar,second,1,unimodal,4,2.413
7,ch_test_3,leather long,,test,couch,long,leather,absolute,second,1,unimodal,4,2.024
7,ch_test_4,long leather,,test,couch,long,leather,absolute,first,1,unimodal,5,6.727
7,ch_test_5,cheap long,,test,couch,long,cheap,scalar,second,1,unimodal,4,2.269
7,ch_test_6,long cheap,,test,couch,long,cheap,scalar,first,1,unimodal,4,2.406
7,ch_test_7,discounted long,,test,couch,long,discounted,absolute,second,1,unimodal,5,2.896
7,ch_test_8,long discounted,,test,couch,long,discounted,absolute,first,1,unimodal,5,4.577
7,tv_filler_1,,questionable,filler,tv,,,,,1,bimodal,4,2.184
7,tv_filler_2,,questionable,filler,tv,,,,,1,bimodal,2,7.135
7,tv_filler_3,,acceptable,filler,tv,,,,,1,bimodal,5,2.267
7,tv_filler_4,,acceptable,filler,tv,,,,,1,bimodal,5,3.324
7,tv_filler_5,,acceptable,filler,tv,,,,,1,bimodal,5,2.229
7,tv_filler_6,,unacceptable,filler,tv,,,,,1,bimodal,5,1.926
7,tv_filler_7,,unacceptable,filler,tv,,,,,1,bimodal,1,4.572
7,tv_filler_8,,unacceptable,filler,tv,,,,,1,bimodal,1,3.448
7,tv_filler_9,,unacceptable,filler,tv,,,,,1,bimodal,1,4.243
7,tv_filler_10,,acceptable,filler,tv,,,,,1,bimodal,5,1.796
7,ch_filler_1,,questionable,filler,couch,,,,,1,unimodal,5,4.227
7,ch_filler_2,,acceptable,filler,couch,,,,,1,unimodal,5,1.306
7,ch_filler_3,,acceptable,filler,couch,,,,,1,unimodal,5,3.795
7,ch_filler_4,,questionable,filler,couch,,,,,1,unimodal,4,2.657
7,ch_filler_5,,questionable,filler,couch,,,,,1,unimodal,4,2.818
7,ch_filler_6,,acceptable,filler,couch,,,,,1,unimodal,5,2.6
7,ch_filler_7,,unacceptable,filler,couch,,,,,1,unimodal,1,4.08
7,ch_filler_8,,unacceptable,filler,couch,,,,,1,unimodal,5,1.715
7,ch_filler_9,,acceptable,filler,couch,,,,,1,unimodal,5,2.66
7,ch_filler_10,,unacceptable,filler,couch,,,,,1,unimodal,1,2.603
8,tv_test_1,big expensive,,test,tv,big,expensive,scalar,first,1,bimodal,5,2.1
8,tv_test_2,expensive big,,test,tv,big,expensive,scalar,second,1,bimodal,5,3.509
8,tv_test_3,refurbished big,,test,tv,big,refurbished,absolute,second,1,bimodal,1,4.569
8,tv_test_4,big refurbished,,test,tv,big,refurbished,absolute,first,1,bimodal,5,2.693
8,tv_test_5,big cheap,,test,tv,big,cheap,scalar,first,1,bimodal,5,3.202
8,tv_test_6,cheap big,,test,tv,big,cheap,scalar,second,1,bimodal,5,4.251
8,tv_test_7,big discounted,,test,tv,big,discounted,absolute,first,1,bimodal,3,8.434
8,tv_test_8,discounted big,,test,tv,big,discounted,absolute,second,1,bimodal,5,6.736
8,ch_test_1,long expensive,,test,couch,long,expensive,scalar,first,1,unimodal,5,8.034
8,ch_test_2,expensive long,,test,couch,long,expensive,scalar,second,1,unimodal,5,3.139
8,ch_test_3,leather long,,test,couch,long,leather,absolute,second,1,unimodal,1,2.767
8,ch_test_4,long leather,,test,couch,long,leather,absolute,first,1,unimodal,5,3.102
8,ch_test_5,cheap long,,test,couch,long,cheap,scalar,second,1,unimodal,5,4.069
8,ch_test_6,long cheap,,test,couch,long,cheap,scalar,first,1,unimodal,5,2.78
8,ch_test_7,discounted long,,test,couch,long,discounted,absolute,second,1,unimodal,3,7.059
8,ch_test_8,long discounted,,test,couch,long,discounted,absolute,first,1,unimodal,4,3.448
8,tv_filler_1,,questionable,filler,tv,,,,,1,bimodal,5,6.175
8,tv_filler_2,,questionable,filler,tv,,,,,1,bimodal,2,12.641
8,tv_filler_3,,acceptable,filler,tv,,,,,1,bimodal,5,2.926
8,tv_filler_4,,acceptable,filler,tv,,,,,1,bimodal,5,4.894
8,tv_filler_5,,acceptable,filler,tv,,,,,1,bimodal,5,2.618
8,tv_filler_6,,unacceptable,filler,tv,,,,,1,bimodal,1,4.497
8,tv_filler_7,,unacceptable,filler,tv,,,,,1,bimodal,1,2.76
8,tv_filler_8,,unacceptable,filler,tv,,,,,1,bimodal,2,4.769
8,tv_filler_9,,unacceptable,filler,tv,,,,,1,bimodal,1,4.036
8,tv_filler_10,,acceptable,filler,tv,,,,,1,bimodal,5,2.06
8,ch_filler_1,,questionable,filler,couch,,,,,1,unimodal,5,2.95
8,ch_filler_2,,acceptable,filler,couch,,,,,1,unimodal,5,1.96
8,ch_filler_3,,acceptable,filler,couch,,,,,1,unimodal,5,2.863
8,ch_filler_4,,questionable,filler,couch,,,,,1,unimodal,5,1.965
8,ch_filler_5,,questionable,filler,couch,,,,,1,unimodal,5,3.076
8,ch_filler_6,,acceptable,filler,couch,,,,,1,unimodal,5,2.205
8,ch_filler_7,,unacceptable,filler,couch,,,,,1,unimodal,1,3.264
8,ch_filler_8,,unacceptable,filler,couch,,,,,1,unimodal,1,4.422
8,ch_filler_9,,acceptable,filler,couch,,,,,1,unimodal,5,2.431
8,ch_filler_10,,unacceptable,filler,couch,,,,,1,unimodal,1,3.715
9,tv_test_1,big expensive,,test,tv,big,expensive,scalar,first,2,unimodal,5,1.802
9,tv_test_2,expensive big,,test,tv,big,expensive,scalar,second,2,unimodal,5,2.048
9,tv_test_3,refurbished big,,test,tv,big,refurbished,absolute,second,2,unimodal,5,5.019
9,tv_test_4,big refurbished,,test,tv,big,refurbished,absolute,first,2,unimodal,5,1.772
9,tv_test_5,big cheap,,test,tv,big,cheap,scalar,first,2,unimodal,5,2.818
9,tv_test_6,cheap big,,test,tv,big,cheap,scalar,second,2,unimodal,5,2.221
9,tv_test_7,big discounted,,test,tv,big,discounted,absolute,first,2,unimodal,5,1.561
9,tv_test_8,discounted big,,test,tv,big,discounted,absolute,second,2,unimodal,5,4.202
9,ch_test_1,long expensive,,test,couch,long,expensive,scalar,first,2,bimodal,2,12.876
9,ch_test_2,expensive long,,test,couch,long,expensive,scalar,second,2,bimodal,5,2.387
9,ch_test_3,leather long,,test,couch,long,leather,absolute,second,2,bimodal,1,1.765
