index,scenario,size,price,bimodal,unimodal
ch_1,couch,43,360,TRUE,TRUE
ch_2,couch,79,965,FALSE,TRUE
ch_3,couch,63,290,TRUE,TRUE
ch_4,couch,114,600,TRUE,TRUE
ch_5,couch,87,580,FALSE,TRUE
ch_6,couch,102,700,TRUE,TRUE
ch_7,couch,75,480,FALSE,TRUE
ch_8,couch,95,1175,TRUE,TRUE
ch_9,couch,83,800,FALSE,TRUE
ch_10,couch,71,540,FALSE,TRUE
ch_11,couch,67,350,FALSE,TRUE
ch_12,couch,83,580,FALSE,TRUE
ch_13,couch,55,200,TRUE,TRUE
ch_14,couch,79,675,FALSE,TRUE
ch_16,couch,110,575,TRUE,FALSE
ch_17,couch,59,900,TRUE,FALSE
ch_18,couch,47,345,TRUE,FALSE
ch_19,couch,59,780,TRUE,FALSE
ch_20,couch,106,665,TRUE,FALSE
ch_21,couch,102,1050,TRUE,FALSE
ch_22,couch,55,350,TRUE,FALSE
ch_23,couch,106,485,TRUE,FALSE
tv_1,tv,22,990,TRUE,TRUE
tv_2,tv,84,275,TRUE,TRUE
tv_3,tv,70,885,TRUE,FALSE
tv_4,tv,34,800,TRUE,TRUE
tv_5,tv,30,650,TRUE,FALSE
tv_6,tv,32,1750,TRUE,FALSE
tv_7,tv,34,4400,TRUE,FALSE
tv_8,tv,38,595,TRUE,FALSE
tv_9,tv,42,130,TRUE,FALSE
tv_10,tv,60,1000,FALSE,TRUE
tv_11,tv,65,1050,FALSE,TRUE
tv_12,tv,72,340,TRUE,TRUE
tv_13,tv,75,1990,TRUE,FALSE
tv_14,tv,78,1695,TRUE,FALSE
tv_15,tv,40,650,FALSE,TRUE
tv_16,tv,44,885,FALSE,TRUE
tv_17,tv,48,4400,FALSE,TRUE
tv_18,tv,50,595,FALSE,TRUE
tv_19,tv,52,1990,FALSE,TRUE
tv_20,tv,55,1750,FALSE,TRUE
tv_21,tv,58,1695,FALSE,TRUE
tv_22,tv,32,130,FALSE,TRUE
tv_23,tv,72,1000,TRUE,FALSE
tv_24,tv,75,1050,TRUE,FALSE