factor,exp1_effect_size,exp1_std_error,exp1_z_value,exp1_p,exp2_effect_size,exp2_std_error,exp2_z_value,exp2_p,exp3_effect_size,exp3_std_error,exp3_z_value,exp3_p
ordersecond                               ,-0.96751,0.47325,-2.044,0.0409,3.7859,2.1006,1.802,0.0715,-3.57293,2.24625,-1.591,0.111695
confidence_on_semantic,,,,,0.3674,0.3902,0.941,0.3465,0.44274,0.45346,0.976,0.328887
conditionunimodal,0.12413,0.30139,0.412,0.6805,0.8917,2.2414,0.398,0.69076,2.89678,2.38719,1.213,0.224951
adj_targetlong,-0.1408,0.43525,-0.324,0.7463,0.4061,0.3986,1.019,0.30829,-1.84936,0.48264,-3.832,0.000127
adj_secondary_typescalar,-0.0809,0.41563,-0.195,0.8457,0.8073,0.3892,2.074,0.03808,-0.67256,0.43283,-1.554,0.120212
ordersecond:confidence_on_semantic,,,,,-1.0619,0.4492,-2.364,0.01807,0.07817,0.49061,0.159,0.873413
ordersecond:conditionunimodal,0.03414,0.41368,0.083,0.9342,-5.6591,2.6662,-2.123,0.03379,-2.8582,3.04358,-0.939,0.347683
confidence_on_semantic:conditionunimodal,,,,,-0.1653,0.4967,-0.333,0.73923,-0.58639,0.52466,-1.118,0.263711
ordersecond:adj_targetlong,-0.69941,0.58362,-1.198,0.2308,-0.2471,0.542,-0.456,0.64851,1.33078,0.61214,2.174,0.029707
ordersecond:adj_secondary_typescalar,0.56013,0.57675,0.971,0.3315,-0.6909,0.5237,-1.319,0.18711,1.3426,0.5696,2.357,0.01842
adj_targetlong:adj_secondary_typescalar,-0.49927,0.58928,-0.847,0.3969,-1.1334,0.5526,-2.051,0.04027,1.6061,0.60837,2.64,0.00829
ordersecond:confidence_on_semantic:conditionunimodal,,,,,1.2657,0.5884,2.151,0.03146,0.6815,0.66953,1.018,0.308736
ordersecond:adj_targetlong:adj_secondary_typescalar,1.49325,0.81405,1.834,0.0666,2.1595,0.758,2.849,0.00439,0.02591,0.80691,0.032,0.974382